Codigo,Municipio,Distancia,Servico,Atendimento,Percentual
310820,Bonfinopolis_De_Minas,546,S6,5,100
310820,Bonfinopolis_De_Minas,546,S7,2,100
310825,Bonito_De_Minas,635,S4,4,100
310825,Bonito_De_Minas,635,S6,7,100
310825,Bonito_De_Minas,635,S7,3,100
310830,Borda_Da_Mata,408,S4,43,100
310830,Borda_Da_Mata,408,S5,35,100
310830,Borda_Da_Mata,408,S6,28,100
310830,Borda_Da_Mata,408,S7,19,100
310830,Borda_Da_Mata,408,S8,4,100
310830,Borda_Da_Mata,408,S10,17,100
310840,Botelhos,404,S4,7,100
310840,Botelhos,404,S5,15,100
310840,Botelhos,404,S6,13,100
310840,Botelhos,404,S7,10,100
310840,Botelhos,404,S8,1,100
310850,Botumirim,576,S4,3,100
310850,Botumirim,576,S6,4,100
310850,Botumirim,576,S7,2,100
310855,Brasilandia_De_Minas,484,S4,23,100
310855,Brasilandia_De_Minas,484,S5,17,100
310855,Brasilandia_De_Minas,484,S6,20,100
310855,Brasilandia_De_Minas,484,S7,13,100
310855,Brasilandia_De_Minas,484,S8,2,100
310860,Brasilia_De_Minas,524,S4,3,100
310860,Brasilia_De_Minas,524,S6,8,100
310860,Brasilia_De_Minas,524,S7,2,100
310860,Brasilia_De_Minas,524,S8,1,100
310870,Bras_Pires,192,S4,16,100
310870,Bras_Pires,192,S5,61,100
310870,Bras_Pires,192,S6,26,100
310870,Bras_Pires,192,S7,14,100
310870,Bras_Pires,192,S8,4,100
310870,Bras_Pires,192,S10,28,100
310880,Braunas,307,S4,13,100
310880,Braunas,307,S5,23,100
310880,Braunas,307,S6,10,100
310880,Braunas,307,S7,11,100
310880,Braunas,307,S8,2,100
310880,Braunas,307,S10,11,100
310890,Brazopolis,439,S4,6,100
310890,Brazopolis,439,S5,10,100
310890,Brazopolis,439,S6,5,100
310890,Brazopolis,439,S7,6,100
310890,Brazopolis,439,S8,1,100
310900,Brumadinho,51,S4,244,100
310900,Brumadinho,51,S6,193,100
310900,Brumadinho,51,S8,46,100
310900,Brumadinho,51,S10,506,100
310910,Bueno_Brandao,450,S4,2,100
310910,Bueno_Brandao,450,S5,7,100
310910,Bueno_Brandao,450,S6,7,100
310910,Bueno_Brandao,450,S7,3,100
310920,Buenopolis,272,S4,48,100
310920,Buenopolis,272,S5,71,100
310920,Buenopolis,272,S6,41,100
310920,Buenopolis,272,S7,29,100
310920,Buenopolis,272,S8,6,100
310920,Buenopolis,272,S10,31,100
310925,Bugre,270,S4,15,100
310925,Bugre,270,S5,26,100
310925,Bugre,270,S6,16,100
310925,Bugre,270,S7,8,100
310925,Bugre,270,S8,2,100
310925,Bugre,270,S10,15,100
310940,Buritizeiro,348,S4,39,100
310940,Buritizeiro,348,S5,44,100
310940,Buritizeiro,348,S6,24,100
310940,Buritizeiro,348,S7,19,100
310940,Buritizeiro,348,S8,5,100
310940,Buritizeiro,348,S10,24,100
310945,Cabeceira_Grande,658,S4,3,100
310945,Cabeceira_Grande,658,S7,2,100
310950,Cabo_Verde,421,S4,4,100
310950,Cabo_Verde,421,S5,12,100
310950,Cabo_Verde,421,S6,12,100
310950,Cabo_Verde,421,S7,7,100
310950,Cabo_Verde,421,S8,1,100
310960,Cachoeira_Da_Prata,85,S4,62,100
310960,Cachoeira_Da_Prata,85,S5,137,100
310960,Cachoeira_Da_Prata,85,S6,62,100
310960,Cachoeira_Da_Prata,85,S7,25,100
310960,Cachoeira_Da_Prata,85,S8,7,100
310960,Cachoeira_Da_Prata,85,S10,61,100
310970,Cachoeira_De_Minas,399,S4,25,100
310970,Cachoeira_De_Minas,399,S5,22,100
310970,Cachoeira_De_Minas,399,S6,24,100
310970,Cachoeira_De_Minas,399,S7,13,100
310970,Cachoeira_De_Minas,399,S8,3,100
310990,Caetanopolis,92,S5,159,100
310990,Caetanopolis,92,S6,95,100
310990,Caetanopolis,92,S7,51,100
310990,Caetanopolis,92,S8,11,100
310990,Caetanopolis,92,S10,110,100
311000,Caete,70,S4,205,100
311000,Caete,70,S5,588,100
311000,Caete,70,S6,410,100
311000,Caete,70,S7,210,100
311000,Caete,70,S8,46,100
311000,Caete,70,S10,506,100
311010,Caiana,381,S4,4,100
311010,Caiana,381,S5,14,100
311010,Caiana,381,S6,10,100
311010,Caiana,381,S7,7,100
311010,Caiana,381,S8,1,100
311020,Cajuri,246,S4,17,100
311020,Cajuri,246,S5,28,100
311020,Cajuri,246,S7,9,100
311020,Cajuri,246,S8,2,100
311020,Cajuri,246,S10,13,100
311030,Caldas,455,S4,9,100
311030,Caldas,455,S5,9,100
311030,Caldas,455,S6,5,100
311030,Caldas,455,S7,4,100
311040,Camacho,194,S4,11,100
311040,Camacho,194,S5,39,100
311040,Camacho,194,S6,3,100
311040,Camacho,194,S7,6,100
311040,Camacho,194,S8,2,100
311040,Camacho,194,S10,19,100
311050,Camanducaia,442,S4,9,100
311050,Camanducaia,442,S5,12,100
311050,Camanducaia,442,S6,17,100
311050,Camanducaia,442,S7,5,100
311050,Camanducaia,442,S8,2,100
311060,Cambui,423,S4,16,100
311060,Cambui,423,S5,26,100
311060,Cambui,423,S6,27,100
311060,Cambui,423,S7,14,100
311060,Cambui,423,S8,3,100
311070,Cambuquira,308,S4,4,100
311070,Cambuquira,308,S5,33,100
311070,Cambuquira,308,S6,26,100
311070,Cambuquira,308,S7,6,100
311070,Cambuquira,308,S8,2,100
311070,Cambuquira,308,S10,17,100
311080,Campanario,408,S4,3,100
311080,Campanario,408,S5,7,100
311080,Campanario,408,S6,4,100
311080,Campanario,408,S7,1,100
311090,Campanha,306,S4,24,100
311090,Campanha,306,S5,39,100
311090,Campanha,306,S6,20,100
311090,Campanha,306,S7,16,100
311090,Campanha,306,S8,3,100
311090,Campanha,306,S10,21,100
311100,Campestre,414,S5,20,100
311100,Campestre,414,S6,17,100
311100,Campestre,414,S7,13,100
311100,Campestre,414,S8,2,100
311110,Campina_Verde,668,S4,2,100
311110,Campina_Verde,668,S7,2,100
311115,Campo_Azul,481,S4,3,100
311115,Campo_Azul,481,S5,4,100
311115,Campo_Azul,481,S6,5,100
311115,Campo_Azul,481,S7,2,100
311120,Campo_Belo,208,S4,42,100
311120,Campo_Belo,208,S5,198,100
311120,Campo_Belo,208,S6,26,100
311120,Campo_Belo,208,S7,33,100
311120,Campo_Belo,208,S8,14,100
311120,Campo_Belo,208,S10,102,100
311130,Campo_Do_Meio,318,S4,2,100
311130,Campo_Do_Meio,318,S5,24,100
311130,Campo_Do_Meio,318,S6,8,100
311130,Campo_Do_Meio,318,S7,2,100
311130,Campo_Do_Meio,318,S8,2,100
311140,Campo_Florido,536,S4,6,100
311140,Campo_Florido,536,S6,4,100
311140,Campo_Florido,536,S7,5,100
311150,Campos_Altos,261,S4,18,100
311150,Campos_Altos,261,S5,61,100
311150,Campos_Altos,261,S6,45,100
311150,Campos_Altos,261,S7,22,100
311150,Campos_Altos,261,S8,4,100
311150,Campos_Altos,261,S10,28,100
311160,Campos_Gerais,298,S4,32,100
311160,Campos_Gerais,298,S5,81,100
311160,Campos_Gerais,298,S6,42,100
311160,Campos_Gerais,298,S7,26,100
311160,Campos_Gerais,298,S8,6,100
311160,Campos_Gerais,298,S10,29,100
311170,Canaa,267,S4,17,100
311170,Canaa,267,S5,24,100
311170,Canaa,267,S6,15,100
311170,Canaa,267,S7,12,100
311170,Canaa,267,S8,3,100
311170,Canaa,267,S10,14,100
311180,Canapolis,646,S4,2,100
311180,Canapolis,646,S7,1,100
311190,Cana_Verde,217,S4,21,100
311190,Cana_Verde,217,S5,63,100
311190,Cana_Verde,217,S6,16,100
311190,Cana_Verde,217,S7,10,100
311190,Cana_Verde,217,S8,4,100
311190,Cana_Verde,217,S10,31,100
311200,Candeias,225,S5,66,100
311200,Candeias,225,S6,17,100
311200,Candeias,225,S7,12,100
311200,Candeias,225,S8,4,100
311200,Candeias,225,S10,36,100
311205,Cantagalo,314,S4,5,100
311205,Cantagalo,314,S5,23,100
311205,Cantagalo,314,S6,15,100
311205,Cantagalo,314,S7,7,100
311205,Cantagalo,314,S8,2,100
311205,Cantagalo,314,S10,12,100
311210,Caparao,350,S4,6,100
311210,Caparao,350,S5,18,100
311210,Caparao,350,S7,8,100
311210,Caparao,350,S8,2,100
311220,Capela_Nova,171,S4,42,100
311220,Capela_Nova,171,S5,87,100
311220,Capela_Nova,171,S6,34,100
311220,Capela_Nova,171,S7,23,100
311220,Capela_Nova,171,S8,4,100
311220,Capela_Nova,171,S10,39,100
311230,Capelinha,445,S5,27,100
311230,Capelinha,445,S6,8,100
311230,Capelinha,445,S7,14,100
311230,Capelinha,445,S8,3,100
311240,Capetinga,427,S4,2,100
311240,Capetinga,427,S5,6,100
311240,Capetinga,427,S6,5,100
311250,Capim_Branco,66,S4,166,100
311250,Capim_Branco,66,S5,431,100
311250,Capim_Branco,66,S6,84,100
311250,Capim_Branco,66,S7,88,100
311250,Capim_Branco,66,S8,19,100
311250,Capim_Branco,66,S10,216,100
311260,Capinopolis,690,S4,2,100
311260,Capinopolis,690,S7,1,100
311265,Capitao_Andrade,363,S4,14,100
311265,Capitao_Andrade,363,S5,12,100
311265,Capitao_Andrade,363,S6,14,100
311265,Capitao_Andrade,363,S7,7,100
311270,Capitao_Eneas,478,S4,16,100
311270,Capitao_Eneas,478,S5,17,100
311270,Capitao_Eneas,478,S6,16,100
311270,Capitao_Eneas,478,S7,11,100
311270,Capitao_Eneas,478,S8,2,100
311280,Capitolio,297,S5,19,100
311280,Capitolio,297,S6,10,100
311280,Capitolio,297,S7,4,100
311280,Capitolio,297,S8,2,100
311290,Caputira,300,S4,33,100
311290,Caputira,300,S5,52,100
311290,Caputira,300,S6,31,100
311290,Caputira,300,S7,16,100
311290,Caputira,300,S8,4,100
311290,Caputira,300,S10,26,100
311300,Carai,560,S4,6,100
311300,Carai,560,S6,11,100
311300,Carai,560,S7,5,100
311310,Caranaiba,135,S4,39,100
311310,Caranaiba,135,S5,80,100
311310,Caranaiba,135,S6,22,100
311310,Caranaiba,135,S7,18,100
311310,Caranaiba,135,S8,4,100
311310,Caranaiba,135,S10,40,100
311320,Carandai,140,S4,114,100
311320,Carandai,140,S5,282,100
311320,Carandai,140,S6,132,100
311320,Carandai,140,S7,65,100
311320,Carandai,140,S8,16,100
311320,Carandai,140,S10,140,100
311330,Carangola,355,S4,6,100
311330,Carangola,355,S5,31,100
311330,Carangola,355,S7,14,100
311330,Carangola,355,S8,3,100
311330,Carangola,355,S10,13,100
311340,Caratinga,322,S4,60,100
311340,Caratinga,322,S5,98,100
311340,Caratinga,322,S6,22,100
311340,Caratinga,322,S7,28,100
311340,Caratinga,322,S8,9,100
311340,Caratinga,322,S10,48,100
311350,Carbonita,421,S5,9,100
311350,Carbonita,421,S7,4,100
311360,Careacu,343,S4,11,100
311360,Careacu,343,S5,11,100
311360,Careacu,343,S6,10,100
311360,Careacu,343,S7,6,100
311360,Careacu,343,S8,1,100
311370,Carlos_Chagas,570,S4,1,100
311370,Carlos_Chagas,570,S6,7,100
311370,Carlos_Chagas,570,S7,4,100
311380,Carmesia,226,S4,1,100
311380,Carmesia,226,S5,28,100
311380,Carmesia,226,S7,7,100
311380,Carmesia,226,S8,2,100
311380,Carmesia,226,S10,13,100
311390,Carmo_Da_Cachoeira,249,S4,24,100
311390,Carmo_Da_Cachoeira,249,S5,52,100
311390,Carmo_Da_Cachoeira,249,S6,7,100
311390,Carmo_Da_Cachoeira,249,S7,22,100
311390,Carmo_Da_Cachoeira,249,S8,3,100
311390,Carmo_Da_Cachoeira,249,S10,27,100
311400,Carmo_Da_Mata,168,S4,37,100
311400,Carmo_Da_Mata,168,S5,96,100
311400,Carmo_Da_Mata,168,S6,44,100
311400,Carmo_Da_Mata,168,S7,28,100
311400,Carmo_Da_Mata,168,S8,6,100
311400,Carmo_Da_Mata,168,S10,47,100
311410,Carmo_De_Minas,381,S4,10,100
311410,Carmo_De_Minas,381,S5,20,100
311410,Carmo_De_Minas,381,S6,16,100
311410,Carmo_De_Minas,381,S7,3,100
