Codigo,Unidade,Distancia,Servico,Atendimento,latitude,longitude
2191229,Regiao 7,5,S5,69,-19.91923,-44.04299
2191059,Regiao 8,4,S5,177,-19.92546,-44.06202
2190591,Regiao 9,8,S5,183,-19.90689,-44.03838
2190184,Regiao 10,8,S5,376,-19.90475,-44.02718
2190567,Regiao 11,7,S5,7,-19.89987,-44.03285
2190494,Regiao 12,10,S5,123,-19.88058,-44.01915
2190532,Regiao 13,9,S5,148,-19.88598,-44.01992
2190931,Regiao 14,9,S5,277,-19.87224,-44.02072
2190605,Regiao 15,7,S5,164,-19.88730,-44.04377
2190109,Regiao 16,6,S5,25,-19.88388,-44.05061
7116306,Regiao 17,12,S5,77,-19.85505,-44.01586
2190923,Regiao 18,11,S5,167,-19.86472,-44.04195
2190893,Regiao 19,14,S5,305,-19.84347,-44.03189
2190222,Regiao 20,12,S5,120,-19.85457,-44.02804
2189968,Regiao 21,3,S5,153,-19.91828,-44.09081
4696077,Regiao 22,3,S5,234,-19.91302,-44.08864
7110316,Regiao 23,4,S5,275,-19.90848,-44.09112
2189984,Regiao 24,3,S5,325,-19.92635,-44.08060
2190176,Regiao 25,6,S5,1,-19.89446,-44.06772
2190389,Regiao 26,5,S5,6,-19.92797,-44.10414
2190451,Regiao 27,6,S5,82,-19.92890,-44.10979
2190206,Regiao 28,7,S5,63,-19.92824,-44.11701
2190524,Regiao 29,8,S5,117,-19.93008,-44.12490
2190435,Regiao 30,8,S5,103,-19.91695,-44.12164
2190877,Regiao 31,7,S5,87,-19.92367,-44.12114
181854,Regiao 32,8,S5,45,-19.91591,-44.11787
2190834,Regiao 33,12,S5,341,-19.86003,-44.13395
2190710,Regiao 34,16,S5,212,-19.82687,-44.14813
2190826,Regiao 35,13,S5,132,-19.87581,-44.14067
2190656,Regiao 36,15,S5,30,-19.83402,-44.09048
2190540,Regiao 37,24,S5,5,-19.80543,-44.13212
2189992,Regiao 38,7,S5,160,-19.95852,-44.02485
2191202,Regiao 39,8,S5,39,-19.96171,-44.02844
2190060,Regiao 40,9,S5,2,-19.95052,-44.01402
2190788,Regiao 41,6,S5,55,-19.94511,-44.02653
2190214,Regiao 42,8,S5,334,-19.96957,-44.02728
2190680,Regiao 43,8,S5,188,-19.96843,-44.04242
4275454,Regiao 44,7,S5,160,-19.95846,-44.04709
7301189,Regiao 45,8,S5,54,-19.96103,-44.03387
2190044,Regiao 46,4,S5,212,-19.95335,-44.06228
2189909,Regiao 47,6,S5,109,-19.95725,-44.05509
2189844,Regiao 48,6,S5,130,-19.95760,-44.05139
2190141,Regiao 49,9,S5,73,-19.97610,-44.06420
2220245,Regiao 50,4,S5,189,-19.94539,-44.05793
2190052,Regiao 51,6,S5,152,-19.94487,-44.03069
2190001,Regiao 52,5,S5,104,-19.92800,-44.03948
2191199,Regiao 1,3,S6,18,-19.94370,-44.06693
6557864,Regiao 2,3,S6,60,-19.92942,-44.05811
2190095,Regiao 3,4,S6,44,-19.92886,-44.04764
2190087,Regiao 4,4,S6,52,-19.93684,-44.04962
2191040,Regiao 5,3,S6,3,-19.93673,-44.07910
2190990,Regiao 6,3,S6,40,-19.92591,-44.06100
2191229,Regiao 7,5,S6,23,-19.91923,-44.04299
2191059,Regiao 8,4,S6,59,-19.92546,-44.06202
2190591,Regiao 9,8,S6,61,-19.90689,-44.03838
2190184,Regiao 10,8,S6,126,-19.90475,-44.02718
2190567,Regiao 11,7,S6,2,-19.89987,-44.03285
2190494,Regiao 12,10,S6,41,-19.88058,-44.01915
2190532,Regiao 13,9,S6,50,-19.88598,-44.01992
2190931,Regiao 14,9,S6,93,-19.87224,-44.02072
2190605,Regiao 15,7,S6,55,-19.88730,-44.04377
2190109,Regiao 16,6,S6,8,-19.88388,-44.05061
7116306,Regiao 17,12,S6,26,-19.85505,-44.01586
2190923,Regiao 18,11,S6,56,-19.86472,-44.04195
2190893,Regiao 19,14,S6,102,-19.84347,-44.03189
2190222,Regiao 20,12,S6,40,-19.85457,-44.02804
2189968,Regiao 21,3,S6,51,-19.91828,-44.09081
4696077,Regiao 22,3,S6,78,-19.91302,-44.08864
7110316,Regiao 23,4,S6,92,-19.90848,-44.09112
2189984,Regiao 24,3,S6,109,-19.92635,-44.08060
2190176,Regiao 25,6,S6,0,-19.89446,-44.06772
2190389,Regiao 26,5,S6,2,-19.92797,-44.10414
2190451,Regiao 27,6,S6,28,-19.92890,-44.10979
2190206,Regiao 28,7,S6,21,-19.92824,-44.11701
2190524,Regiao 29,8,S6,39,-19.93008,-44.12490
2190435,Regiao 30,8,S6,34,-19.91695,-44.12164
2190877,Regiao 31,7,S6,29,-19.92367,-44.12114
181854,Regiao 32,8,S6,15,-19.91591,-44.11787
2190834,Regiao 33,12,S6,114,-19.86003,-44.13395
2190710,Regiao 34,16,S6,71,-19.82687,-44.14813
2190826,Regiao 35,13,S6,44,-19.87581,-44.14067
2190656,Regiao 36,15,S6,10,-19.83402,-44.09048
2190540,Regiao 37,24,S6,2,-19.80543,-44.13212
2189992,Regiao 38,7,S6,54,-19.95852,-44.02485
2191202,Regiao 39,8,S6,13,-19.96171,-44.02844
2190060,Regiao 40,9,S6,1,-19.95052,-44.01402
2190788,Regiao 41,6,S6,18,-19.94511,-44.02653
2190214,Regiao 42,8,S6,112,-19.96957,-44.02728
2190680,Regiao 43,8,S6,63,-19.96843,-44.04242
4275454,Regiao 44,7,S6,54,-19.95846,-44.04709
7301189,Regiao 45,8,S6,18,-19.96103,-44.03387
2190044,Regiao 46,4,S6,71,-19.95335,-44.06228
2189909,Regiao 47,6,S6,37,-19.95725,-44.05509
2189844,Regiao 48,6,S6,44,-19.95760,-44.05139
2190141,Regiao 49,9,S6,25,-19.97610,-44.06420
2220245,Regiao 50,4,S6,63,-19.94539,-44.05793
2190052,Regiao 51,6,S6,51,-19.94487,-44.03069
2190001,Regiao 52,5,S6,35,-19.92800,-44.03948
2191199,Regiao 1,3,S7,16,-19.94370,-44.06693
6557864,Regiao 2,3,S7,54,-19.92942,-44.05811
2190095,Regiao 3,4,S7,39,-19.92886,-44.04764
2190087,Regiao 4,4,S7,47,-19.93684,-44.04962
2191040,Regiao 5,3,S7,2,-19.93673,-44.07910
2190990,Regiao 6,3,S7,36,-19.92591,-44.06100
2191229,Regiao 7,5,S7,21,-19.91923,-44.04299
2191059,Regiao 8,4,S7,53,-19.92546,-44.06202
2190591,Regiao 9,8,S7,55,-19.90689,-44.03838
2190184,Regiao 10,8,S7,113,-19.90475,-44.02718
2190567,Regiao 11,7,S7,2,-19.89987,-44.03285
2190494,Regiao 12,10,S7,37,-19.88058,-44.01915
2190532,Regiao 13,9,S7,45,-19.88598,-44.01992
2190931,Regiao 14,9,S7,84,-19.87224,-44.02072
2190605,Regiao 15,7,S7,49,-19.88730,-44.04377
2190109,Regiao 16,6,S7,7,-19.88388,-44.05061
7116306,Regiao 17,12,S7,23,-19.85505,-44.01586
2190923,Regiao 18,11,S7,50,-19.86472,-44.04195
2190893,Regiao 19,14,S7,92,-19.84347,-44.03189
2190222,Regiao 20,12,S7,36,-19.85457,-44.02804
2189968,Regiao 21,3,S7,46,-19.91828,-44.09081
4696077,Regiao 22,3,S7,70,-19.91302,-44.08864
7110316,Regiao 23,4,S7,83,-19.90848,-44.09112
2189984,Regiao 24,3,S7,98,-19.92635,-44.08060
2190176,Regiao 25,6,S7,0,-19.89446,-44.06772
2190389,Regiao 26,5,S7,2,-19.92797,-44.10414
2190451,Regiao 27,6,S7,25,-19.92890,-44.10979
2190206,Regiao 28,7,S7,19,-19.92824,-44.11701
2190524,Regiao 29,8,S7,35,-19.93008,-44.12490
2190435,Regiao 30,8,S7,31,-19.91695,-44.12164
2190877,Regiao 31,7,S7,26,-19.92367,-44.12114
181854,Regiao 32,8,S7,14,-19.91591,-44.11787
2190834,Regiao 33,12,S7,103,-19.86003,-44.13395
2190710,Regiao 34,16,S7,64,-19.82687,-44.14813
2190826,Regiao 35,13,S7,40,-19.87581,-44.14067
2190656,Regiao 36,15,S7,9,-19.83402,-44.09048
2190540,Regiao 37,24,S7,1,-19.80543,-44.13212
2189992,Regiao 38,7,S7,48,-19.95852,-44.02485
2191202,Regiao 39,8,S7,12,-19.96171,-44.02844
2190060,Regiao 40,9,S7,1,-19.95052,-44.01402
2190788,Regiao 41,6,S7,17,-19.94511,-44.02653
2190214,Regiao 42,8,S7,101,-19.96957,-44.02728
2190680,Regiao 43,8,S7,57,-19.96843,-44.04242
4275454,Regiao 44,7,S7,48,-19.95846,-44.04709
7301189,Regiao 45,8,S7,16,-19.96103,-44.03387
2190044,Regiao 46,4,S7,64,-19.95335,-44.06228
2189909,Regiao 47,6,S7,33,-19.95725,-44.05509
2189844,Regiao 48,6,S7,39,-19.95760,-44.05139
2190141,Regiao 49,9,S7,22,-19.97610,-44.06420
2220245,Regiao 50,4,S7,57,-19.94539,-44.05793
2190052,Regiao 51,6,S7,46,-19.94487,-44.03069
2190001,Regiao 52,5,S7,31,-19.92800,-44.03948
2191199,Regiao 1,3,S8,3,-19.94370,-44.06693
6557864,Regiao 2,3,S8,9,-19.92942,-44.05811
2190095,Regiao 3,4,S8,7,-19.92886,-44.04764
2190087,Regiao 4,4,S8,8,-19.93684,-44.04962
2191040,Regiao 5,3,S8,0,-19.93673,-44.07910
2190990,Regiao 6,3,S8,6,-19.92591,-44.06100
2191229,Regiao 7,5,S8,3,-19.91923,-44.04299
2191059,Regiao 8,4,S8,9,-19.92546,-44.06202
2190591,Regiao 9,8,S8,9,-19.90689,-44.03838
2190184,Regiao 10,8,S8,19,-19.90475,-44.02718
2190567,Regiao 11,7,S8,0,-19.89987,-44.03285
2190494,Regiao 12,10,S8,6,-19.88058,-44.01915
2190532,Regiao 13,9,S8,7,-19.88598,-44.01992
2190931,Regiao 14,9,S8,14,-19.87224,-44.02072
